2026-03-10 11:42:37 | gaussian_attack | INFO | Gaussian attack complete: 283 frames attacked, 0 failed
2026-03-10 11:42:46 | gaussian_attack | INFO | Gaussian attack complete: 283 frames attacked, 0 failed
2026-03-10 11:42:52 | gaussian_attack | INFO | Gaussian attack complete: 113 frames attacked, 0 failed
2026-03-10 11:42:55 | gaussian_attack | INFO | Gaussian attack complete: 113 frames attacked, 0 failed
2026-03-10 11:42:59 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:43:03 | gaussian_attack | INFO | Gaussian attack complete: 115 frames attacked, 0 failed
2026-03-10 11:43:10 | gaussian_attack | INFO | Gaussian attack complete: 297 frames attacked, 0 failed
2026-03-10 11:43:19 | gaussian_attack | INFO | Gaussian attack complete: 297 frames attacked, 0 failed
2026-03-10 11:43:24 | gaussian_attack | INFO | Gaussian attack complete: 97 frames attacked, 0 failed
2026-03-10 11:43:27 | gaussian_attack | INFO | Gaussian attack complete: 97 frames attacked, 0 failed
2026-03-10 11:43:31 | gaussian_attack | INFO | Gaussian attack complete: 106 frames attacked, 0 failed
2026-03-10 11:43:34 | gaussian_attack | INFO | Gaussian attack complete: 106 frames attacked, 0 failed
2026-03-10 11:43:41 | gaussian_attack | INFO | Gaussian attack complete: 297 frames attacked, 0 failed
2026-03-10 11:43:51 | gaussian_attack | INFO | Gaussian attack complete: 297 frames attacked, 0 failed
2026-03-10 11:43:56 | gaussian_attack | INFO | Gaussian attack complete: 143 frames attacked, 0 failed
2026-03-10 11:44:01 | gaussian_attack | INFO | Gaussian attack complete: 143 frames attacked, 0 failed
2026-03-10 11:44:09 | gaussian_attack | INFO | Gaussian attack complete: 297 frames attacked, 0 failed
2026-03-10 11:44:18 | gaussian_attack | INFO | Gaussian attack complete: 297 frames attacked, 0 failed
2026-03-10 11:44:27 | gaussian_attack | INFO | Gaussian attack complete: 297 frames attacked, 0 failed
2026-03-10 11:44:35 | gaussian_attack | INFO | Gaussian attack complete: 297 frames attacked, 0 failed
2026-03-10 11:44:42 | gaussian_attack | INFO | Gaussian attack complete: 166 frames attacked, 0 failed
2026-03-10 11:44:47 | gaussian_attack | INFO | Gaussian attack complete: 166 frames attacked, 0 failed
2026-03-10 11:44:51 | gaussian_attack | INFO | Gaussian attack complete: 120 frames attacked, 0 failed
2026-03-10 11:44:55 | gaussian_attack | INFO | Gaussian attack complete: 120 frames attacked, 0 failed
2026-03-10 11:45:02 | gaussian_attack | INFO | Gaussian attack complete: 297 frames attacked, 0 failed
